congress,name,birth,position,party,state,death
1,"PATERSON, William",1745,Senator,Pro-Administration,NJ,1806
1,"READ, George",1733,Senator,Pro-Administration,DE,1798
1,"SCHUREMAN, James",1756,Representative,Federalist,NJ,1824
1,"SCHUYLER, Philip John",1733,Senator,Pro-Administration,NY,1804
1,"SCOTT, Thomas",1739,Representative,Pro-Administration,PA,1796
1,"SEDGWICK, Theodore",1746,Representative,Federalist,MA,1813
1,"SENEY, Joshua",1756,Representative,Anti-Administration,MD,1798
1,"SEVIER, John",1745,Representative,Pro-Administration,NC,1815
1,"SHERMAN, Roger",1721,Representative,,CT,1793
1,"SILVESTER, Peter",1734,Representative,Pro-Administration,NY,1808
1,"SINNICKSON, Thomas",1744,Representative,Pro-Administration,NJ,1817
1,"SMITH, William",1728,Representative,Anti-Administration,MD,1814
1,"SMITH, William Loughton",1758,Representative,Pro-Administration,SC,1812
1,"STANTON, Joseph, Jr.",1739,Senator,Anti-Administration,RI,1807
1,"STEELE, John",1764,Representative,Pro-Administration,NC,1815
1,"STONE, Michael Jenifer",1747,Representative,Anti-Administration,MD,1812
1,"STRONG, Caleb",1745,Senator,Pro-Administration,MA,1819
1,"STURGES, Jonathan",1740,Representative,Pro-Administration,CT,1819
1,"SUMTER, Thomas",1734,Representative,,SC,1832
1,"THACHER, George",1754,Representative,Federalist,MA,1824
1,"TRUMBULL, Jonathan, Jr.",1740,Representative,,CT,1809
1,"TUCKER, Thomas Tudor",1745,Representative,,SC,1828
1,"VAN RENSSELAER, Jeremiah",1738,Representative,,NY,1810
1,"VINING, John",1758,Representative,,DE,1802
1,"WADSWORTH, Jeremiah",1743,Representative,,CT,1804
1,"WALKER, John",1744,Senator,Pro-Administration,VA,1809
1,"WHITE, Alexander",1738,Representative,,VA,1804
1,"WILLIAMSON, Hugh",1735,Representative,Federalist,NC,1819
1,"WINGATE, Paine",1739,Senator,Anti-Administration,NH,1838
1,"WYNKOOP, Henry",1737,Representative,,PA,1816
2,"AMES, Fisher",1758,Representative,Pro-Administration,MA,1808
2,"ASHE, John Baptista",1748,Representative,Anti-Administration,NC,1802
2,"BALDWIN, Abraham",1754,Representative,Anti-Administration,GA,1807
2,"BARNWELL, Robert",1761,Representative,Pro-Administration,SC,1814
2,"BASSETT, Richard",1745,Senator,Anti-Administration,DE,1815
2,"BENSON, Egbert",1746,Representative,Pro-Administration,NY,1833
2,"BOUDINOT, Elias",1740,Representative,Pro-Administration,NJ,1821
2,"BOURNE, Benjamin",1755,Representative,Pro-Administration,RI,1808
2,"BOURNE, Shearjashub",1746,Representative,Pro-Administration,MA,1806
2,"BRADLEY, Stephen Row",1754,Senator,Anti-Administration,VT,1830
2,"BROWN, John",1757,Representative,Anti-Administration,VA,1837
2,"BURR, Aaron",1756,Senator,Anti-Administration,NY,1836
2,"BUTLER, Pierce",1744,Senator,Anti-Administration,SC,1822
2,"CABOT, George",1752,Senator,Pro-Administration,MA,1823
2,"CARROLL, Charles (of Carrollton)",1737,Senator,Pro-Administration,MD,1832
2,"CLARK, Abraham",1726,Representative,Pro-Administration,NJ,1794
2,"DAYTON, Jonathan",1760,Representative,Federalist,NJ,1824
2,"DICKINSON, Philemon",1739,Senator,Pro-Administration,NJ,1809
2,"EDWARDS, John",1748,Senator,Anti-Administration,KY,1837
2,"ELLSWORTH, Oliver",1745,Senator,Pro-Administration,CT,1807
2,"FEW, William",1748,Senator,Anti-Administration,GA,1828
2,"FINDLEY, William",1741/1742,Representative,Anti-Administration,PA,1821
2,"FITZSIMONS, Thomas",1741,Representative,Pro-Administration,PA,1811
2,"FOSTER, Theodore",1752,Senator,Pro-Administration,RI,1828
2,"GERRY, Elbridge",1744,Representative,Anti-Administration,MA,1814
2,"GILES, William Branch",1762,Representative,,VA,1830
2,"GILMAN, Nicholas",1755,Representative,,NH,1814
2,"GOODHUE, Benjamin",1748,Representative,Federalist,MA,1814
2,"GORDON, James",1739,Representative,Pro-Administration,NY,1810
2,"GREENUP, Christopher",1750,Representative,Anti-Administration,KY,1818
2,"GREGG, Andrew",1755,Representative,,PA,1835
2,"GRIFFIN, Samuel",1746,Representative,Anti-Administration,VA,1810
2,"GROVE, William Barry",1764,Representative,Pro-Administration,NC,1818
2,"GUNN, James",1753,Senator,Anti-Administration,GA,1801
2,"HARTLEY, Thomas",1748,Representative,Pro-Administration,PA,1800
2,"HAWKINS, Benjamin",1754,Senator,Pro-Administration,NC,1816
2,"HENRY, John",1750,Senator,Pro-Administration,MD,1798
2,"HIESTER, Daniel",1747,Representative,Anti-Administration,PA,1804
2,"HILLHOUSE, James",1754,Representative,,CT,1832
2,"HINDMAN, William",1743,Representative,Federalist,MD,1822
2,"HUGER, Daniel",1742,Representative,Pro-Administration,SC,1799
2,"IZARD, Ralph",1741/1742,Senator,Pro-Administration,SC,1804
2,"JACOBS, Israel",1726,Representative,Pro-Administration,PA,1796
2,"JOHNSON, William Samuel",1727,Senator,Pro-Administration,CT,1819
2,"JOHNSTON, Samuel",1733,Senator,Pro-Administration,NC,1816
2,"KEY, Philip",1750,Representative,Pro-Administration,MD,1820
2,"KING, Rufus",1755,Senator,Pro-Administration,NY,1827
2,"KITCHELL, Aaron",1744,Representative,,NJ,1820
2,"KITTERA, John Wilkes",1752,Representative,Pro-Administration,PA,1801
2,"LANGDON, John",1741,Senator,Pro-Administration,NH,1819
2,"LAURANCE, John",1750,Representative,,NY,1810
2,"LEARNED, Amasa",1750,Representative,Pro-Administration,CT,1825
2,"LEE, Richard Bland",1761,Representative,Pro-Administration,VA,1827
2,"LEE, Richard Henry",1732,Senator,Anti-Administration,VA,1794
2,"LEONARD, George",1729,Representative,Pro-Administration,MA,1819
2,"LIVERMORE, Samuel",1732,Representative,Federalist,NH,1803
2,"MACON, Nathaniel",1757,Representative,Democratic Republican,NC,1837
2,"MADISON, James, Jr.",1751,Representative,Anti-Administration,VA,1836
2,"MERCER, John Francis",1759,Representative,Anti-Administration,MD,1821
2,"MILLEDGE, John",1757,Representative,,GA,1818
2,"MONROE, James",1758,Senator,Anti-Administration,VA,1831
2,"MOORE, Andrew",1752,Representative,,VA,1821
2,"MORRIS, Robert",1734,Senator,Pro-Administration,PA,1806
2,"MUHLENBERG, Frederick Augustus Conrad",1750,Representative,Anti-administration,PA,1801
2,"MURRAY, William Vans",1760,Representative,Pro-Administration,MD,1803
2,"NILES, Nathaniel",1741,Representative,Anti-Administration,VT,1828
2,"ORR, Alexander Dalrymple",1761,Representative,Anti-Administration,KY,1835
2,"PAGE, John",1743,Representative,Anti-Administration,VA,1808
2,"PARKER, Josiah",1751,Representative,Anti-Administration,VA,1810
2,"PINKNEY, William",1764,Representative,Democratic Republican,MD,1822
2,"POTTS, Richard",1753,Senator,Pro-Administration,MD,1808
2,"READ, George",1733,Senator,Pro-Administration,DE,1798
2,"ROBINSON, Moses",1741,Senator,Anti-Administration,VT,1813
2,"RUTHERFURD, John",1760,Senator,Pro-Administration,NJ,1840
2,"SCHOONMAKER, Cornelius Corneliusen",1745,Representative,Anti-Administration,NY,1796
2,"SEDGWICK, Theodore",1746,Representative,Federalist,MA,1813
2,"SENEY, Joshua",1756,Representative,Anti-Administration,MD,1798
2,"SHEREDINE, Upton",1740,Representative,Anti-Administration,MD,1800
2,"SHERMAN, Roger",1721,Senator,Pro-Administration,CT,1793
2,"SILVESTER, Peter",1734,Representative,Pro-Administration,NY,1808
2,"SMITH, Israel",1759,Representative,,VT,1810
2,"SMITH, Jeremiah",1759,Representative,Pro-Administration,NH,1842
2,"SMITH, William Loughton",1758,Representative,Pro-Administration,SC,1812
2,"STANTON, Joseph, Jr.",1739,Senator,Anti-Administration,RI,1807
2,"STEELE, John",1764,Representative,Pro-Administration,NC,1815
2,"STERETT, Samuel",1758,Representative,Anti-Administration,MD,1833
2,"STRONG, Caleb",1745,Senator,Pro-Administration,MA,1819
2,"STURGES, Jonathan",1740,Representative,Pro-Administration,CT,1819
2,"SUMTER, Thomas",1734,Representative,,SC,1832
2,"TAYLOR, John",1753,Senator,Anti-Administration,VA,1824
2,"THACHER, George",1754,Representative,Federalist,MA,1824
2,"TREDWELL, Thomas",1743,Representative,,NY,1831
2,"TRUMBULL, Jonathan, Jr.",1740,Representative,,CT,1809
2,"TUCKER, Thomas Tudor",1745,Representative,,SC,1828
2,"VENABLE, Abraham Bedford",1758,Representative,,VA,1811
2,"VINING, John",1758,Representative,,DE,1802
2,"WADSWORTH, Jeremiah",1743,Representative,,CT,1804
2,"WARD, Artemas",1727,Representative,,MA,1800
2,"WAYNE, Anthony",1745,Representative,,GA,1796
2,"WHITE, Alexander",1738,Representative,,VA,1804
2,"WILLIAMSON, Hugh",1735,Representative,Federalist,NC,1819
2,"WILLIS, Francis",1745,Representative,,GA,1829
2,"WINGATE, Paine",1739,Senator,Anti-Administration,NH,1838
3,"AMES, Fisher",1758,Representative,Pro-Administration,MA,1808
3,"ARMSTRONG, James",1748,Representative,Pro-Administration,PA,1828
3,"BAILEY, Theodorus",1758,Representative,,NY,1828
3,"BALDWIN, Abraham",1754,Representative,Anti-Administration,GA,1807
3,"BEATTY, John",1749,Representative,Pro-Administration,NJ,1826
3,"BENTON, Lemuel",1754,Representative,Anti-Administration,SC,1818
3,"BLOUNT, Thomas",1759,Representative,Anti-Administration,NC,1812
3,"BOUDINOT, Elias",1740,Representative,Pro-Administration,NJ,1821
3,"BOURNE, Benjamin",1755,Representative,Pro-Administration,RI,1808
3,"BOURNE, Shearjashub",1746,Representative,Pro-Administration,MA,1806
3,"BRADFORD, William",1729,Senator,Pro-Administration,RI,1808
3,"BRADLEY, Stephen Row",1754,Senator,Anti-Administration,VT,1830
3,"BROWN, John",1757,Senator,Anti-Administration,KY,1837
3,"BURR, Aaron",1756,Senator,Anti-Administration,NY,1836
3,"BUTLER, Pierce",1744,Senator,Anti-Administration,SC,1822
3,"CABOT, George",1752,Senator,Pro-Administration,MA,1823
3,"CADWALADER, Lambert",1742,Representative,Pro-Administration,NJ,1823
3,"CARNES, Thomas Petters",1762,Representative,Anti-Administration,GA,1822
3,"CHRISTIE, Gabriel",1755,Representative,Anti-Administration,MD,1808
3,"CLAIBORNE, Thomas",1749,Representative,Anti-Administration,VA,1812
3,"CLARK, Abraham",1726,Representative,Pro-Administration,NJ,1794
3,"COBB, David",1748,Representative,Pro-Administration,MA,1830
3,"COFFIN, Peleg, Jr.",1756,Representative,Pro-Administration,MA,1805
3,"COIT, Joshua",1758,Representative,Pro-Administration,CT,1798
3,"COLES, Isaac",1747,Representative,Anti-Administration,VA,1813
3,"DAWSON, William Johnson",,Representative,Anti-Administration,NC,1798
3,"DAYTON, Jonathan",1760,Representative,Federalist,NJ,1824
3,"DEARBORN, Henry",1751,Representative,Anti-Administration,MA,1829
3,"DENT, George",1756,Representative,Pro-Administration,MD,1813
3,"DEXTER, Samuel",1761,Representative,Federalist,MA,1816
3,"DUVALL, Gabriel",1752,Representative,Anti-Administration,MD,1844
3,"EDWARDS, Benjamin",1753,Representative,Pro-Administration,MD,1829
3,"EDWARDS, John",1748,Senator,Anti-Administration,KY,1837
3,"ELLSWORTH, Oliver",1745,Senator,Pro-Administration,CT,1807
3,"FINDLEY, William",1741/1742,Representative,Anti-Administration,PA,1821
3,"FITZSIMONS, Thomas",1741,Representative,Pro-Administration,PA,1811
3,"FORREST, Uriah",1756,Representative,Pro-Administration,MD,1805
3,"FOSTER, Dwight",1757,Representative,Federalist,MA,1823
3,"FOSTER, Theodore",1752,Senator,Pro-Administration,RI,1828
3,"FRELINGHUYSEN, Frederick",1753,Senator,Pro-Administration,NJ,1804
3,"GILBERT, Ezekiel",1756,Representative,Pro-Administration,NY,1841
3,"GILES, William Branch",1762,Representative,,VA,1830
3,"GILLESPIE, James",c1747,Representative,Anti-Administration,NC,1805
3,"GILLON, Alexander",1741,Representative,Anti-Administration,SC,1794
3,"GILMAN, Nicholas",1755,Representative,,NH,1814
3,"GLEN, Henry",1739,Representative,Pro-Administration,NY,1814
3,"GOODHUE, Benjamin",1748,Representative,Federalist,MA,1814
3,"GORDON, James",1739,Representative,Pro-Administration,NY,1810
3,"GREENUP, Christopher",1750,Representative,Anti-Administration,KY,1818
3,"GREGG, Andrew",1755,Representative,,PA,1835
3,"GRIFFIN, Samuel",1746,Representative,Pro-Administration,VA,1810
3,"GROVE, William Barry",1764,Representative,Pro-Administration,NC,1818
3,"GUNN, James",1753,Senator,Anti-Administration,GA,1801
3,"HANCOCK, George",1754,Representative,Pro-Administration,VA,1820
3,"HARPER, Robert Goodloe",1765,Representative,,SC,1825
3,"HARRISON, Carter Bassett",c1756,Representative,Anti-Administration,VA,1808
3,"HARTLEY, Thomas",1748,Representative,Pro-Administration,PA,1800
3,"HAWKINS, Benjamin",1754,Senator,Pro-Administration,NC,1816
3,"HEATH, John",1758,Representative,Anti-Administration,VA,1810
3,"HENRY, John",1750,Senator,Pro-Administration,MD,1798
3,"HIESTER, Daniel",1747,Representative,Anti-Administration,PA,1804
3,"HILLHOUSE, James",1754,Representative,,CT,1832
3,"HINDMAN, William",1743,Representative,Federalist,MD,1822
3,"HOLTEN, Samuel",1738,Representative,Anti-Administration,MA,1816
3,"HUNTER, John",1732/1760,Representative,,SC,1802
3,"IRVINE, William",1741,Representative,Anti-Administration,PA,1804
3,"IZARD, Ralph",1741/1742,Senator,Pro-Administration,SC,1804
3,"JACKSON, James",1757,Senator,Anti-Administration,GA,1806
3,"KING, Rufus",1755,Senator,Pro-Administration,NY,1827
3,"KITCHELL, Aaron",1744,Representative,,NJ,1820
3,"KITTERA, John Wilkes",1752,Representative,Pro-Administration,PA,1801
3,"LANGDON, John",1741,Senator,Anti-Administration,NH,1819
3,"LATIMER, Henry",1752,Representative,Federalist,DE,1819
3,"LEARNED, Amasa",1750,Representative,Pro-Administration,CT,1825
3,"LEE, Richard Bland",1761,Representative,Pro-Administration,VA,1827
3,"LIVERMORE, Samuel",1732,Senator,Pro-Administration,NH,1803
3,"LOCKE, Matthew",1730,Representative,Anti-Administration,NC,1801
3,"LYMAN, William",1755,Representative,Anti-Administration,MA,1811
3,"MACON, Nathaniel",1757,Representative,Democratic Republican,NC,1837
3,"MADISON, James, Jr.",1751,Representative,Anti-Administration,VA,1836
3,"MALBONE, Francis",1759,Representative,Federalist,RI,1809
3,"MARTIN, Alexander",1740,Senator,Anti-Administration,NC,1807
3,"MASON, Stevens Thomson",1760,Senator,Democratic Republican,VA,1803
3,"McDOWELL, Joseph",1758,Representative,Anti-Administration,NC,1799
3,"MEBANE, Alexander",1744,Representative,Anti-Administration,NC,1795
3,"MERCER, John Francis",1759,Representative,Anti-Administration,MD,1821
3,"MITCHELL, Stephen Mix",1743,Senator,Pro-Administration,CT,1835
3,"MONROE, James",1758,Senator,Anti-Administration,VA,1831
3,"MONTGOMERY, William",1736,Representative,Anti-Administration,PA,1816
3,"MOORE, Andrew",1752,Representative,,VA,1821
3,"MORRIS, Robert",1734,Senator,Pro-Administration,PA,1806
3,"MUHLENBERG, Frederick Augustus Conrad",1750,Speaker of the House,Anti-administration,US,1801
3,"MUHLENBERG, John Peter Gabriel",1746,Representative,,PA,1807
3,"MURRAY, William Vans",1760,Representative,Pro-Administration,MD,1803
3,"NEVILLE, Joseph",1730,Representative,Anti-Administration,VA,1819
3,"NEW, Anthony",1747,Representative,Anti-Administration,VA,1833
3,"NICHOLAS, John",1757c,Representative,Anti-Administration,VA,1819
3,"NILES, Nathaniel",1741,Representative,Anti-Administration,VT,1828
3,"ORR, Alexander Dalrymple",1761,Representative,Anti-Administration,KY,1835
3,"PAGE, John",1743,Representative,Anti-Administration,VA,1808
3,"PARKER, Josiah",1751,Representative,Pro-Administration,VA,1810
3,"PATTEN, John",1746,Representative,Anti-Administration,DE,1800
3,"PICKENS, Andrew",1739,Representative,Anti-Administration,SC,1817
3,"POTTS, Richard",1753,Senator,Pro-Administration,MD,1808
3,"PRESTON, Francis",1765,Representative,Anti-Administration,VA,1835
3,"READ, George",1733,Senator,Pro-Administration,DE,1798
3,"ROBINSON, Moses",1741,Senator,Anti-Administration,VT,1813
3,"ROSS, James",1762,Senator,Pro-Administration,PA,1847
3,"RUTHERFORD, Robert",1728,Representative,Anti-Administration,VA,1803
3,"RUTHERFURD, John",1760,Senator,Pro-Administration,NJ,1840
3,"SCOTT, Thomas",1739,Representative,Pro-Administration,PA,1796
3,"SEDGWICK, Theodore",1746,Representative,Federalist,MA,1813
3,"SHERBURNE, John Samuel",1757,Representative,Anti-Administration,NH,1830
3,"SHERMAN, Roger",1721,Senator,Pro-Administration,CT,1793
3,"SMILIE, John",1741,Representative,Anti-Administration,PA,1812
3,"SMITH, Israel",1759,Representative,,VT,1810
3,"SMITH, Jeremiah",1759,Representative,Pro-Administration,NH,1842
3,"SMITH, Samuel",1752,Representative,,MD,1839
3,"SMITH, William Loughton",1758,Representative,Pro-Administration,SC,1812
3,"SPRIGG, Thomas",1747,Representative,Anti-Administration,MD,1809
3,"STRONG, Caleb",1745,Senator,Pro-Administration,MA,1819
3,"SWIFT, Zephaniah",1759,Representative,Pro-Administration,CT,1823
3,"TALBOT, Silas",1751,Representative,Pro-Administration,NY,1813
3,"TAYLOR, John",1753,Senator,Anti-Administration,VA,1824
3,"TAZEWELL, Henry",1753,Senator,Anti-Administration,VA,1799
3,"THACHER, George",1754,Representative,Federalist,MA,1824
3,"TRACY, Uriah",1755,Representative,Federalist,CT,1807
3,"TREDWELL, Thomas",1743,Representative,,NY,1831
3,"TRUMBULL, Jonathan, Jr.",1740,Representative,,CT,1809
3,"VAN ALEN, John Evert",1749,Representative,Federalist,NY,1807
3,"VAN CORTLANDT, Philip",1749,Representative,Republican,NY,1831
3,"VAN GAASBECK, Peter",1754,Representative,,NY,1797
3,"VENABLE, Abraham Bedford",1758,Representative,,VA,1811
3,"VINING, John",1758,Senator,Pro-Administration,DE,1802
3,"WADSWORTH, Jeremiah",1743,Representative,,CT,1804
3,"WADSWORTH, Peleg",1748,Representative,Federalist,MA,1829
3,"WALKER, Francis",1764,Representative,,VA,1806
3,"WARD, Artemas",1727,Representative,,MA,1800
3,"WATTS, John",1749,Representative,,NY,1836
3,"WHITE, James",1749,Delegate,,TN,1809
3,"WILLIAMS, Benjamin",1751,Representative,,NC,1814
3,"WINGATE, Paine",1739,Representative,,NH,1838
3,"WINN, Richard",1750,Representative,Republican,SC,1818
3,"WINSTON, Joseph",1746,Representative,Republican,NC,1815
4,"AMES, Fisher",1758,Representative,Federalist,MA,1808
4,"BAILEY, Theodorus",1758,Representative,Republican,NY,1828
4,"BALDWIN, Abraham",1754,Representative,Democratic Republican,GA,1807
4,"BARD, David",1744,Representative,Republican,PA,1815
4,"BENTON, Lemuel",1754,Representative,Republican,SC,1818
4,"BINGHAM, William",1752,Senator,Federalist,PA,1804
4,"BLOODWORTH, Timothy",1736,Senator,Democratic Republican,NC,1814
4,"BLOUNT, Thomas",1759,Representative,Republican,NC,1812
4,"BLOUNT, William",1749,Senator,Democratic Republican,TN,1800
4,"BOURNE, Benjamin",1755,Representative,Federalist,RI,1808
4,"BRADBURY, Theophilus",1739,Representative,Federalist,MA,1803
4,"BRADFORD, William",1729,Senator,Pro-Administration,RI,1808
4,"BRENT, Richard",1757,Representative,Republican,VA,1814
4,"BROWN, John",1757,Senator,Republican,KY,1837
4,"BRYAN, Nathan",1748,Representative,Republican,NC,1798
4,"BUCK, Daniel",1753,Representative,Federalist,VT,1816
4,"BURGES, Dempsey",1751,Representative,Republican,NC,1800
4,"BURR, Aaron",1756,Senator,Anti-Administration,NY,1836
4,"BUTLER, Pierce",1744,Senator,Democratic Republican,SC,1822
4,"CABELL, Samuel Jordan",1756,Representative,Republican,VA,1818
4,"CABOT, George",1752,Senator,Pro-Administration,MA,1823
4,"CHRISTIE, Gabriel",1755,Representative,Republican,MD,1808
4,"CLAIBORNE, Thomas",1749,Representative,Republican,VA,1812
4,"CLOPTON, John",1756,Representative,Republican,VA,1816
4,"COCKE, William",1748,Senator,Democratic Republican,TN,1828
4,"COIT, Joshua",1758,Representative,Federalist,CT,1798
4,"COLES, Isaac",1747,Representative,Republican,VA,1813
4,"COOPER, William",1754,Representative,Federalist,NY,1809
4,"CRABB, Jeremiah",1760,Representative,Federalist,MD,1800
4,"CRAIK, William",1761,Representative,Federalist,MD,1814
4,"DANA, Samuel Whittlesey",1760,Representative,Federalist,CT,1830
4,"DAVENPORT, James",1758,Representative,Federalist,CT,1797
4,"DAYTON, Jonathan",1760,Speaker of the House,Federalist,US,1824
4,"DEARBORN, Henry",1751,Representative,Republican,MA,1829
4,"DENT, George",1756,Representative,Federalist,MD,1813
4,"DUVALL, Gabriel",1752,Representative,Republican,MD,1844
4,"EARLE, Samuel",1760,Representative,Republican,SC,1833
4,"EGE, George",1748,Representative,Federalist,PA,1829
4,"ELLSWORTH, Oliver",1745,Senator,Pro-Administration,CT,1807
4,"FINDLEY, William",1741/1742,Representative,Republican,PA,1821
4,"FOSTER, Abiel",1735,Representative,Federalist,NH,1806
4,"FOSTER, Dwight",1757,Representative,Federalist,MA,1823
4,"FOSTER, Theodore",1752,Senator,Federalist,RI,1828
4,"FRANKLIN, Jesse",1760,Representative,Democratic Republican,NC,1823
4,"FREEMAN, Nathaniel, Jr.",1766,Representative,Federalist,MA,1800
4,"FRELINGHUYSEN, Frederick",1753,Senator,Pro-Administration,NJ,1804
4,"GALLATIN, Albert",1761,Representative,Republican,PA,1849
4,"GILBERT, Ezekiel",1756,Representative,Federalist,NY,1841
4,"GILES, William Branch",1762,Representative,Republican,VA,1830
4,"GILLESPIE, James",c1747,Representative,Republican,NC,1805
4,"GILMAN, Nicholas",1755,Representative,Democratic Republican,NH,1814
4,"GLEN, Henry",1739,Representative,Federalist,NY,1814
4,"GOODHUE, Benjamin",1748,Representative,Federalist,MA,1814
4,"GOODRICH, Chauncey",1759,Representative,Federalist,CT,1815
4,"GREENUP, Christopher",1750,Representative,Republican,KY,1818
4,"GREGG, Andrew",1755,Representative,Democratic Republican,PA,1835
4,"GRISWOLD, Roger",1762,Representative,Federalist,CT,1812
4,"GROVE, William Barry",1764,Representative,Federalist,NC,1818
4,"GUNN, James",1753,Senator,Anti-Administration,GA,1801
4,"HAMPTON, Wade",1752,Representative,Republican,SC,1835
4,"HANCOCK, George",1754,Representative,Federalist,VA,1820
4,"HARPER, Robert Goodloe",1765,Representative,,SC,1825
4,"HARRISON, Carter Bassett",c1756,Representative,Republican,VA,1808
4,"HARTLEY, Thomas",1748,Representative,Federalist,PA,1800
4,"HATHORN, John",1749,Representative,Republican,NY,1825
4,"HAVENS, Jonathan Nicoll",1757,Representative,Republican,NY,1799
4,"HEATH, John",1758,Representative,Republican,VA,1810
4,"HENDERSON, Thomas",1743,Representative,Federalist,NJ,1824
4,"HENRY, John",1750,Senator,Pro-Administration,MD,1798
4,"HIESTER, Daniel",1747,Representative,Republican,PA,1804
4,"HILLHOUSE, James",1754,Representative,,CT,1832
4,"HINDMAN, William",1743,Representative,Federalist,MD,1822
4,"HOLLAND, James",1754,Representative,Republican,NC,1823
4,"HOWARD, John Eager",1752,Senator,Federalist,MD,1827
4,"HUNTER, John",1732/1760,Senator,Democratic Republican,SC,1802
4,"JACKSON, Andrew",1767,Representative,Democratic Republican,TN,1845
4,"JACKSON, George",1757,Representative,Republican,VA,1831
